CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
15808582,Fu,665,France,Female,40,6,0,1,1,1,161848,0,0,2,SILVER,651
15743192,Hung,623,France,Female,44,6,0,2,0,0,167162,0,0,2,DIAMOND,520
15580146,Hung,738,France,Male,31,9,82674,1,1,0,41971,0,0,4,DIAMOND,234
15776605,Bradley,528,Spain,Male,36,7,0,2,1,0,60537,0,0,5,SILVER,458
15804919,Dunbabin,670,Spain,Female,65,1,0,1,1,1,177656,1,1,2,GOLD,915
15613854,Mauldon,622,Spain,Female,46,4,107073,2,1,1,30985,1,1,3,GOLD,299
15599195,Stiger,582,Germany,Male,32,1,88939,1,1,1,10055,0,0,4,GOLD,838
15812878,Parsons,785,Germany,Female,36,2,99807,1,0,1,36977,0,0,5,PLATINUM,786
15602312,Walkom,605,Spain,Male,33,5,150093,1,0,0,71863,0,0,3,DIAMOND,509
15744689,T'ang,479,Germany,Male,35,9,92834,1,1,0,99450,1,1,3,DIAMOND,328
15803526,Eremenko,685,Germany,Male,30,3,90537,1,0,1,63083,0,0,4,SILVER,347
15665790,Rowntree,538,Germany,Male,39,7,108055,2,1,0,27231,0,0,5,SILVER,534
15715951,Thorpe,562,France,Male,42,2,100238,1,0,0,86797,0,0,5,PLATINUM,709
15591100,Chiemela,675,Spain,Male,36,9,106191,1,0,1,22994,0,0,4,SILVER,749
15609618,Fanucci,721,Germany,Male,28,9,154476,2,0,1,101301,1,1,5,PLATINUM,541
15675522,Ko,628,Germany,Female,30,9,132351,2,1,1,74169,0,0,2,GOLD,736
15705512,Welch,668,Germany,Female,37,6,167864,1,1,0,115638,0,0,4,SILVER,529
15698028,Duncan,506,France,Female,41,1,0,2,1,0,31766,0,0,4,GOLD,594
15661670,Chidozie,524,Germany,Female,31,8,107819,1,1,0,199725,1,1,1,SILVER,462
15600781,Wu,699,Germany,Male,34,4,185174,2,1,0,120834,0,0,3,PLATINUM,429
15682472,Culbreth,828,France,Male,34,8,129433,2,0,0,38132,0,0,4,SILVER,370
15580203,Kennedy,674,Spain,Male,39,6,120193,1,0,0,100131,0,0,1,PLATINUM,510
15690673,Cameron,656,France,Female,39,6,0,2,1,0,141070,0,0,4,DIAMOND,638
15760085,Calabresi,684,Germany,Female,48,10,126384,1,1,1,198129,0,0,1,GOLD,462
15779659,Zetticci,625,France,Female,28,3,0,1,0,0,183646,0,0,4,GOLD,718
15627360,Fuller,432,France,Male,42,9,152603,1,1,0,110265,1,1,3,DIAMOND,437
15671137,MacDonald,549,France,Female,52,1,0,1,0,1,8636,1,1,4,DIAMOND,485
15782688,Piccio,625,Germany,Male,56,0,148507,1,1,0,46824,1,1,3,PLATINUM,410
15575492,Kennedy,828,France,Female,41,7,0,2,1,0,171379,0,0,2,PLATINUM,666
15591607,Fernie,770,France,Male,24,9,101827,1,1,0,167256,0,0,4,GOLD,730
15740404,He,758,France,Female,34,3,0,2,1,1,124226,0,0,2,PLATINUM,375
15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862,1,1,1,114935,0,0,5,GOLD,411
15677871,Cocci,687,France,Male,38,9,122571,1,1,1,35609,0,0,4,DIAMOND,595
15642004,Alekseeva,686,France,Male,25,1,0,2,0,1,16459,0,0,1,DIAMOND,578
15712543,Chinweike,789,Germany,Male,39,7,124828,2,1,1,124411,0,0,2,PLATINUM,377
15584518,Arthur,589,Germany,Female,50,5,144895,2,1,1,34941,0,0,2,GOLD,831
15802381,Li,461,Germany,Female,34,5,63664,1,0,1,167784,0,0,1,SILVER,497
15610156,Ma,637,France,Male,40,2,133463,1,0,1,93165,0,0,1,PLATINUM,374
15594408,Chia,584,Spain,Female,48,2,213146,1,1,0,75161,1,0,4,DIAMOND,814
15640905,Vasin,579,Spain,Female,35,1,129490,2,0,1,8591,1,1,4,GOLD,247
15698932,Groves,756,Germany,Male,44,10,137452,1,1,0,189544,0,0,5,PLATINUM,965
15724944,Tien,663,France,Male,34,7,0,2,1,1,180427,0,0,3,SILVER,912
15628145,Forwood,682,France,Female,43,5,125852,1,1,1,193318,0,0,4,GOLD,462
15713483,Greeves,793,Spain,Male,52,2,0,1,1,0,159124,1,1,5,GOLD,883
15612350,Taylor,691,France,Female,31,5,40916,1,1,0,126214,1,0,2,SILVER,402
15800703,Madukwe,485,Spain,Female,21,5,113157,1,1,1,54142,0,0,4,GOLD,764
15705707,Bennelong,635,Spain,Female,29,8,138297,2,1,0,141076,0,0,1,PLATINUM,608
15754105,Olisanugo,650,France,Male,37,5,106967,1,0,0,24495,0,0,5,PLATINUM,652
15703264,Chukwufumnanya,735,France,Male,44,9,120682,1,1,0,74836,0,0,2,SILVER,520
15794413,Harris,416,France,Male,32,0,0,2,0,1,879,0,0,5,GOLD,884
15650237,Morgan,754,Spain,Female,32,7,0,2,1,0,89521,0,0,1,SILVER,800
15759618,Alexeeva,535,France,Female,48,9,0,1,1,0,149893,1,1,4,GOLD,697
15811589,Metcalfe,716,Spain,Male,42,8,0,2,1,0,180800,0,0,2,SILVER,427
15689044,Humphries,539,France,Male,37,2,127610,1,1,0,98646,0,0,1,DIAMOND,620
15709368,Milne,614,France,Female,43,6,0,2,1,1,109042,0,0,1,PLATINUM,318
15679145,Chou,706,Spain,Male,57,7,0,1,1,0,17941,1,1,1,GOLD,701
15655007,Li,758,France,Female,33,7,0,2,0,0,82996,0,0,4,PLATINUM,953
15623595,Clayton,586,Spain,Female,28,2,0,2,1,1,92067,0,0,5,PLATINUM,635
15589975,Maclean,646,France,Female,73,6,97259,1,0,1,104720,0,0,1,PLATINUM,250
15804017,Chigolum,631,Germany,Female,33,4,123247,1,0,0,112688,0,0,3,SILVER,662
15692132,Wilkinson,717,Spain,Female,22,6,101060,1,0,1,84700,0,0,2,GOLD,666
15641122,Wei,684,France,Male,30,2,0,2,1,0,83474,0,0,4,DIAMOND,699
15630910,Treacy,800,France,Female,49,7,108007,1,0,0,47125,0,0,3,PLATINUM,855
15680772,Hu,721,Spain,Female,36,2,0,2,1,1,106978,0,0,5,SILVER,534
15658929,Taverner,683,Spain,Male,29,0,133703,1,1,0,55583,1,1,1,PLATINUM,388
15585388,Sherman,660,Germany,Male,31,9,125190,2,1,1,139874,0,0,5,GOLD,612
15724623,Taubman,704,Germany,Female,24,7,113034,1,1,0,162503,1,1,2,PLATINUM,801
15588537,Robinson,615,Spain,Female,41,9,109013,1,1,0,196500,0,0,1,PLATINUM,561
15574692,Pinto,667,Spain,Female,39,2,0,2,1,0,40721,1,1,5,PLATINUM,308
15611325,Wood,682,Germany,Male,24,9,57930,2,0,0,53134,0,0,5,SILVER,643
15587562,Hawkins,484,France,Female,29,4,130114,1,1,0,164018,0,0,1,GOLD,249
15613172,Sun,628,Germany,Male,27,5,95826,2,1,0,155997,0,1,2,SILVER,818
15651022,Yost,480,Germany,Male,44,10,129609,1,1,0,5473,1,1,1,GOLD,775
15586310,Ting,578,France,Male,30,4,169462,1,1,0,112187,0,1,5,DIAMOND,872
15625524,Rowe,512,France,Male,40,5,0,2,1,1,146458,0,0,3,DIAMOND,435
15755209,Fu,484,Spain,Female,35,7,133868,1,1,1,27286,0,0,2,SILVER,415
15645248,Ho,510,France,Female,30,0,0,2,1,1,130553,0,0,2,DIAMOND,430
15790355,Okechukwu,606,Germany,Male,36,5,190479,2,0,0,179352,0,0,5,PLATINUM,929
15762615,Campbell,597,Spain,Female,40,8,101993,1,0,1,94774,0,0,5,SILVER,681
15625426,Ashbolt,754,Germany,Female,55,3,161609,1,1,0,8081,1,1,4,GOLD,810
15716334,Rozier,850,Spain,Female,45,2,122311,1,1,1,19483,0,0,5,GOLD,739
15789669,Hsia,510,France,Male,65,2,0,2,1,1,48072,0,0,1,SILVER,280
15621075,Ogbonnaya,778,Germany,Female,45,1,162150,2,1,0,174531,0,0,2,DIAMOND,250
15810845,T'ang,636,France,Male,42,2,0,2,1,1,55471,0,0,4,PLATINUM,991
15719377,Cocci,804,France,Female,50,4,0,1,1,1,8547,1,1,2,GOLD,482
15654506,Chang,514,France,Male,32,8,0,2,1,0,95857,0,0,4,PLATINUM,423
15771977,T'ao,730,France,Female,39,1,99011,1,1,0,194946,0,0,5,GOLD,260
15708710,Ford,525,Spain,Female,37,0,0,1,0,1,131522,0,0,5,SILVER,642
15726676,Marshall,616,Spain,Male,30,5,0,2,0,1,196109,0,0,4,PLATINUM,701
15587421,Tsai,687,Germany,Female,34,7,111388,2,1,0,148565,0,0,4,GOLD,570
15726931,Onwumelu,715,France,Female,41,8,56215,2,0,0,92983,1,1,4,GOLD,790
15771086,Graham,512,France,Female,36,3,84328,2,1,0,17675,0,0,5,PLATINUM,727
15756850,Golovanov,479,France,Male,40,1,0,2,0,0,114996,0,0,3,SILVER,909
15702741,Potts,601,France,Male,32,8,93013,1,1,0,86957,0,0,2,GOLD,799
15679200,Crawford,580,Spain,Male,29,9,61710,2,1,0,128078,0,0,1,DIAMOND,520
15594815,Aleshire,807,France,Male,35,3,174790,1,1,1,600,0,0,3,SILVER,861
15635905,Moran,616,Spain,Female,32,6,0,2,1,1,43001,0,0,5,GOLD,512
15777892,Samsonova,721,Germany,Male,37,3,107721,1,1,1,158591,0,0,1,PLATINUM,478
15656176,Jenkins,501,France,Male,57,10,0,2,1,1,47847,0,0,5,PLATINUM,374
15811127,Volkov,521,France,Male,35,6,96424,1,1,0,10488,0,0,4,PLATINUM,280
15604482,Chiemezie,850,Spain,Male,30,2,141040,1,1,1,5978,0,0,2,DIAMOND,615
15622911,Jude,759,France,Male,42,4,105420,1,0,1,121409,0,0,3,GOLD,435
15600974,He,516,Spain,Male,50,5,0,1,0,1,146146,1,1,5,GOLD,509
15727868,Onuora,711,France,Female,38,2,129022,2,1,1,14375,1,1,4,DIAMOND,321
15627801,Ginikanwa,512,Spain,Male,33,3,176667,1,1,0,94671,0,0,1,PLATINUM,726
15773039,Ku,550,France,Male,37,3,0,1,1,1,179670,0,0,3,GOLD,516
15755262,McDonald,608,Spain,Female,41,3,89764,1,0,0,199305,1,1,3,PLATINUM,639
15679531,Collins,618,France,Male,34,5,134955,1,1,1,151954,0,0,2,SILVER,512
15684181,Hackett,643,France,Male,45,5,0,1,1,0,142514,1,1,3,GOLD,730
15612087,Dike,671,France,Male,45,2,106377,1,0,1,158265,0,0,3,DIAMOND,244
15752047,Trevisano,689,Germany,Male,33,2,161815,2,1,0,169382,0,0,3,PLATINUM,292
15624592,Tan,603,France,Male,31,8,0,2,1,1,169915,0,0,3,GOLD,245
15573152,Glassman,620,France,Female,41,9,0,2,0,0,88852,0,0,3,DIAMOND,848
15594917,Miller,676,France,Female,34,1,63095,1,1,1,40646,0,0,3,SILVER,974
15785542,Kornilova,572,Germany,Male,26,4,118287,2,0,0,60427,0,0,4,DIAMOND,958
15723488,Watson,668,Germany,Male,47,7,106854,1,0,1,157959,1,1,3,GOLD,629
15680920,Marchesi,695,France,Male,46,7,49513,1,1,0,133007,0,0,3,DIAMOND,310
15786308,Millar,730,Spain,Female,33,9,0,2,0,0,176577,0,0,1,SILVER,621
15659366,Shih,807,France,Male,43,1,105799,2,1,0,34888,1,1,4,DIAMOND,924
15774854,Fuller,592,France,Male,54,8,0,1,1,1,28738,1,1,2,PLATINUM,359
15725311,Hay,726,France,Female,31,9,114722,2,1,1,98179,0,0,5,SILVER,811
15787155,Yang,514,Spain,Male,30,7,0,1,0,1,125010,0,0,4,DIAMOND,583
15727829,McIntyre,567,France,Male,42,2,0,2,1,1,167985,0,0,5,SILVER,959
15733247,Stevenson,850,France,Male,33,10,0,1,1,0,4862,1,1,1,SILVER,359
15568748,Poole,671,Germany,Male,45,6,99564,1,1,1,108872,1,1,3,PLATINUM,901
15699029,Bagley,670,France,Male,37,4,170558,2,1,0,198253,0,0,5,GOLD,729
15774393,Ch'ien,694,France,Female,30,9,0,2,1,1,26960,0,0,5,DIAMOND,829
15676895,Cattaneo,547,Germany,Female,39,6,74596,3,1,1,85747,1,1,4,SILVER,790
15637753,O'Sullivan,751,Germany,Male,50,2,96888,1,1,0,77206,1,1,2,DIAMOND,756
15605461,Lucas,594,Germany,Female,29,3,130830,1,1,0,61049,0,0,4,GOLD,873
15808473,Ringrose,673,France,Male,72,1,0,2,0,1,111981,0,0,3,SILVER,865
15627000,Freeman,610,France,Male,40,0,0,2,1,0,62233,0,0,5,GOLD,690
15787174,Sergeyev,512,France,Female,37,1,0,2,0,1,156105,0,0,4,PLATINUM,722
15723886,Fiore,767,Germany,Male,20,3,119714,2,0,1,150135,0,0,4,DIAMOND,535
15704769,Smith,585,France,Female,67,5,113979,2,0,1,93146,0,0,5,SILVER,580
15772896,Dumetochukwu,763,Germany,Male,42,6,100161,1,1,0,33463,1,1,3,GOLD,709
15711540,Pacheco,712,France,Female,29,2,0,1,1,1,144375,0,0,4,GOLD,930
15764866,Synnot,539,Germany,Female,43,3,116221,3,1,0,55804,1,1,4,DIAMOND,264
15794056,Johnston,668,France,Female,46,2,0,3,1,0,89048,1,1,1,DIAMOND,943
15795149,Stevens,703,France,Male,28,2,81174,2,0,1,162812,0,0,2,PLATINUM,388
15812009,Grant,662,Spain,Male,38,4,0,2,1,0,136260,0,0,5,GOLD,248
15651001,Tsao,725,Germany,Female,39,5,116804,1,1,0,124053,0,0,2,GOLD,763
15813844,Barnes,703,France,Male,37,8,105962,2,0,1,74159,0,0,1,DIAMOND,619
15596175,McIntosh,659,Germany,Male,67,6,117412,1,1,1,45071,1,1,2,SILVER,815
15576269,Madison,523,Spain,Male,34,7,0,2,1,0,62030,0,0,4,DIAMOND,566
15797219,Ifesinachi,635,France,Female,40,10,123498,1,1,0,131953,1,1,5,GOLD,774
15685500,Glazkov,772,Germany,Male,26,7,152401,2,1,0,79414,0,0,1,PLATINUM,695
15599792,Dimauro,545,France,Female,26,1,0,2,1,1,199639,0,0,5,PLATINUM,902
15657566,Wieck,634,Germany,Male,24,8,103098,1,1,1,157577,0,0,2,GOLD,532
15772423,Liao,739,Germany,Male,54,8,126418,1,1,0,134421,1,1,2,DIAMOND,718
15628112,Hughes,771,Germany,Female,36,5,77847,1,0,0,99806,0,0,5,PLATINUM,895
15753754,Morrison,587,Spain,Female,34,1,0,2,1,1,97933,0,0,4,DIAMOND,749
15793726,Matveyeva,681,France,Female,79,0,0,2,0,1,170969,0,0,5,DIAMOND,333
15694717,Ku,544,Germany,Male,37,2,79732,1,1,1,57559,0,0,4,DIAMOND,866
15665834,Cheatham,696,Spain,Male,28,8,0,1,0,0,176713,0,0,3,SILVER,671
15765297,Yao,766,Spain,Male,41,0,0,2,0,1,34283,0,0,4,GOLD,670
15636684,Kirkland,727,France,Male,34,10,0,2,1,1,198637,0,0,4,GOLD,768
15592979,Rose,671,Germany,Female,34,6,37267,2,0,0,156917,0,0,3,SILVER,565
15750803,Jess,693,France,Female,30,6,127992,1,1,1,50457,0,0,1,SILVER,483
15607178,Welch,850,Germany,Male,38,3,54901,1,1,1,140076,0,0,2,GOLD,926
15713853,Ifeajuna,732,Germany,Male,42,9,108748,2,1,1,65323,0,0,1,DIAMOND,932
15673481,Morton,726,Spain,Female,48,6,99906,1,1,0,64323,0,0,4,DIAMOND,901
15686776,Rossi,557,France,Female,32,6,184686,2,1,0,14956,0,0,3,GOLD,299
15673693,Reppert,682,France,Female,26,0,110654,1,0,1,111879,0,0,2,PLATINUM,899
15700696,Kang,738,Spain,Male,31,9,79020,1,1,1,18606,0,0,4,PLATINUM,467
15813163,Ch'iu,531,Spain,Female,36,9,99241,1,1,0,123137,0,0,1,PLATINUM,717
15653857,Wallis,498,France,Male,34,2,0,2,1,1,148528,0,0,1,DIAMOND,549
15777076,Clark,651,France,Male,36,7,0,2,1,0,13898,0,0,1,GOLD,545
15717398,Fielding,549,Spain,Female,39,7,0,1,0,0,81259,1,1,2,GOLD,716
15799217,Zetticci,791,Germany,Female,35,7,52436,1,1,0,161052,0,0,2,SILVER,650
15787071,Dulhunty,650,Spain,Male,41,9,0,2,0,1,191600,0,0,4,PLATINUM,693
15619955,Bevington,733,Germany,Male,34,3,100338,3,1,0,48559,1,1,4,PLATINUM,759
15796505,Boyle,811,Germany,Female,34,1,149297,2,1,1,186340,0,0,2,GOLD,946
15725166,Newton,707,France,Male,30,8,0,2,1,0,33159,0,0,5,GOLD,402
15800116,Bowman,712,Germany,Male,28,4,145605,1,0,1,93884,0,0,3,PLATINUM,465
15758685,Dubinina,706,Spain,Female,37,7,0,2,1,1,110899,0,0,1,GOLD,799
15694456,Toscani,756,France,Male,62,3,0,1,1,1,11199,1,1,3,SILVER,600
15767339,Chiazagomekpere,777,France,Female,53,10,0,2,1,0,189993,0,0,2,PLATINUM,306
15683562,Allen,646,France,Male,35,6,84027,1,0,1,164256,0,0,3,SILVER,635
15782210,K'ung,714,France,Male,46,1,0,1,1,0,152168,1,1,2,PLATINUM,747
15668893,Wilsmore,782,France,Male,39,8,0,2,1,1,33950,0,0,3,PLATINUM,424
15669169,Hargreaves,775,Spain,Male,29,10,0,2,1,1,68144,0,0,2,DIAMOND,913
15643024,Huang,479,Germany,Male,35,4,138719,1,1,1,47252,1,1,1,GOLD,751
15699389,Ch'ien,807,France,Male,42,7,118275,1,1,1,25886,0,0,3,DIAMOND,899
15708608,Wallwork,799,France,Female,22,8,174186,2,0,1,192634,0,0,3,PLATINUM,219
15626144,Chu,675,France,Male,40,7,113209,2,1,0,34577,0,0,3,SILVER,587
15573112,Kang,602,Spain,Male,29,5,103907,1,1,0,161230,0,0,2,SILVER,861
15790678,Davidson,475,France,Female,32,8,119023,1,1,0,100816,0,0,1,PLATINUM,278
15727556,O'Donnell,744,Spain,Female,26,5,166298,1,1,1,181694,0,0,1,PLATINUM,526
15697307,Nnachetam,588,Spain,Male,34,10,0,2,1,0,79079,0,0,2,PLATINUM,632
15652266,Chidiebele,703,Germany,Male,42,9,63227,1,0,1,137316,0,0,3,SILVER,301
15607098,Ahmed,747,Spain,Female,41,5,94521,2,1,0,194927,0,0,1,DIAMOND,806
15655774,Booth,583,France,Male,27,7,0,2,1,0,51285,0,0,1,PLATINUM,250
15590241,Chuang,750,Spain,Female,34,9,112822,1,0,0,150402,1,1,2,PLATINUM,563
